,name_dk_wk5,position_dk_wk5,team_draft_wk5,opponent_fd_wk5,salary_dk_wk5,salary_fd_wk5,salary_draft_wk5,fd_adj_wk5,draft_adj_wk5,adj_fd-dk_wk5,adj_draft-dk_wk5,fd-dk_wk5,draft-dk_wk5,draft-fd_wk5,ppg_draft_wk5,ppg_dk_wk5,ppg_fd_wk5,ppg_diff_wk5
11,Lamar Jackson,QB,Ravens,PIT,7100.0,8300.0,13600.0,6917.0,6800.0,-183.0,-300.0,1200.0,6500.0,5300.0,29.55,29.55,28.0,1.55
12,Melvin Gordon III,RB,Chargers,DEN,7000.0,6800.0,13000.0,5667.0,6500.0,-1333.0,-500.0,-200.0,6000.0,6200.0,0.0,0.0,20.9,-20.9
13,Chris Godwin,WR,Buccaneers,NO,6900.0,7800.0,13000.0,6500.0,6500.0,-400.0,-400.0,900.0,6100.0,5200.0,23.65,23.65,18.9,4.75
14,Le'Veon Bell,RB,Jets,PHI,6800.0,7300.0,13300.0,6083.0,6650.0,-717.0,-150.0,500.0,6500.0,6000.0,18.46,18.47,14.8,3.67
15,Amari Cooper,WR,Cowboys,GB,6800.0,7900.0,12700.0,6583.0,6350.0,-217.0,-450.0,1100.0,5900.0,4800.0,19.15,19.15,15.8,3.35
16,A.J. Green,WR,Bengals,ARI,6700.0,7100.0,12600.0,5917.0,6300.0,-783.0,-400.0,400.0,5900.0,5500.0,0.0,0.0,14.0,-14.0
17,Deshaun Watson,QB,Texans,ATL,6700.0,8000.0,12200.0,6667.0,6100.0,-33.0,-600.0,1300.0,5500.0,4200.0,21.75,21.76,20.5,1.26
18,Adam Thielen,WR,Vikings,NYG,6700.0,6900.0,12100.0,5750.0,6050.0,-950.0,-650.0,200.0,5400.0,5200.0,12.25,12.25,10.6,1.65
19,Austin Ekeler,RB,Chargers,DEN,6700.0,7200.0,12600.0,6000.0,6300.0,-700.0,-400.0,500.0,5900.0,5400.0,27.0,27.0,23.8,3.2
20,Michael Thomas,WR,Saints,TB,6600.0,7700.0,12100.0,6417.0,6050.0,-183.0,-550.0,1100.0,5500.0,4400.0,19.77,19.78,14.8,4.98
21,Tyler Boyd,WR,Bengals,ARI,6500.0,6700.0,11700.0,5583.0,5850.0,-917.0,-650.0,200.0,5200.0,5000.0,17.43,14.65,10.5,4.15
22,Tom Brady,QB,Patriots,WAS,6500.0,7600.0,11900.0,6333.0,5950.0,-167.0,-550.0,1100.0,5400.0,4300.0,20.28,20.28,18.8,1.48
23,Leonard Fournette,RB,Jaguars,CAR,6400.0,6900.0,12100.0,5750.0,6050.0,-650.0,-350.0,500.0,5700.0,5200.0,17.45,17.45,14.4,3.05
24,JuJu Smith-Schuster,WR,Steelers,BAL,6400.0,7300.0,12000.0,6083.0,6000.0,-317.0,-400.0,900.0,5600.0,4700.0,14.76,12.2,10.1,2.1
25,Kyler Murray,QB,Cardinals,CIN,6300.0,7400.0,11900.0,6167.0,5950.0,-133.0,-350.0,1100.0,5600.0,4500.0,20.53,20.54,19.0,1.54
26,Mark Ingram II,RB,Ravens,PIT,6300.0,7500.0,11900.0,6250.0,5950.0,-50.0,-350.0,1200.0,5600.0,4400.0,20.75,20.75,18.1,2.65
27,Julian Edelman,WR,Patriots,WAS,6300.0,6500.0,12000.0,5417.0,6000.0,-883.0,-300.0,200.0,5700.0,5500.0,12.94,12.94,10.3,2.64
28,Jameis Winston,QB,Buccaneers,NO,6200.0,7600.0,12800.0,6333.0,6400.0,133.0,200.0,1400.0,6600.0,5200.0,21.52,21.52,20.0,1.52
29,Stefon Diggs,WR,Vikings,NYG,6200.0,6000.0,12000.0,5000.0,6000.0,-1200.0,-200.0,-200.0,5800.0,6000.0,10.22,10.22,7.3,2.92
30,James Conner,RB,Steelers,BAL,6200.0,6900.0,11700.0,5750.0,5850.0,-450.0,-350.0,700.0,5500.0,4800.0,10.9,14.8,12.2,2.6
31,Joe Mixon,RB,Bengals,ARI,6100.0,7100.0,11400.0,5917.0,5700.0,-183.0,-400.0,1000.0,5300.0,4300.0,8.93,9.28,7.9,1.38
32,Carson Wentz,QB,Eagles,NYJ,6100.0,7800.0,11400.0,6500.0,5700.0,400.0,-400.0,1700.0,5300.0,3600.0,22.23,22.23,21.5,0.73
33,Josh Gordon,WR,Patriots,WAS,6100.0,6200.0,11000.0,5167.0,5500.0,-933.0,-600.0,100.0,4900.0,4800.0,10.55,10.55,8.8,1.75
34,Larry Fitzgerald,WR,Cardinals,CIN,6000.0,5800.0,11300.0,4833.0,5650.0,-1167.0,-350.0,-200.0,5300.0,5500.0,17.75,17.75,13.4,4.35
35,Zach Ertz,TE,Eagles,NYJ,6000.0,6600.0,10900.0,5500.0,5450.0,-500.0,-550.0,600.0,4900.0,4300.0,12.87,12.88,9.9,2.98
36,Derrick Henry,RB,Titans,BUF,6000.0,6700.0,10800.0,5583.0,5400.0,-417.0,-600.0,700.0,4800.0,4100.0,18.17,18.18,16.8,1.38
37,Aaron Rodgers,QB,Packers,DAL,6000.0,7800.0,11300.0,6500.0,5650.0,500.0,-350.0,1800.0,5300.0,3500.0,18.01,18.02,16.8,1.22
38,Dak Prescott,QB,Cowboys,GB,6000.0,8200.0,12200.0,6833.0,6100.0,833.0,100.0,2200.0,6200.0,4000.0,24.3,24.3,23.6,0.7
39,Matt Ryan,QB,Falcons,HOU,5900.0,7700.0,11000.0,6417.0,5500.0,517.0,-400.0,1800.0,5100.0,3300.0,23.7,23.7,20.5,3.2
40,Drew Brees,QB,Saints,TB,5900.0,6000.0,11000.0,5000.0,5500.0,-900.0,-400.0,100.0,5100.0,5000.0,12.66,12.66,11.2,1.46
41,Alshon Jeffery,WR,Eagles,NYJ,5900.0,6700.0,11000.0,5583.0,5500.0,-317.0,-400.0,800.0,5100.0,4300.0,11.63,11.63,15.4,-3.77
42,DeSean Jackson,WR,Eagles,NYJ,5900.0,6600.0,10400.0,5500.0,5200.0,-400.0,-700.0,700.0,4500.0,3800.0,19.2,19.2,31.4,-12.2
43,Aaron Jones,RB,Packers,DAL,5900.0,6800.0,11000.0,5667.0,5500.0,-233.0,-400.0,900.0,5100.0,4200.0,16.5,16.5,14.2,2.3
44,Sterling Shepard,WR,Giants,MIN,5800.0,6500.0,10900.0,5417.0,5450.0,-383.0,-350.0,700.0,5100.0,4400.0,19.06,19.07,14.7,4.37
45,Evan Engram,TE,Giants,MIN,5800.0,6300.0,10900.0,5250.0,5450.0,-550.0,-350.0,500.0,5100.0,4600.0,19.52,19.52,14.6,4.92
46,Philip Rivers,QB,Chargers,DEN,5800.0,7700.0,10900.0,6417.0,5450.0,617.0,-350.0,1900.0,5100.0,3200.0,21.71,21.72,19.2,2.52
47,Andy Dalton,QB,Bengals,ARI,5700.0,7500.0,10500.0,6250.0,5250.0,550.0,-450.0,1800.0,4800.0,3000.0,22.15,18.02,15.8,2.22
48,Marquise Brown,WR,Ravens,PIT,5700.0,5400.0,10600.0,4500.0,5300.0,-1200.0,-400.0,-300.0,4900.0,5200.0,15.85,15.85,12.9,2.95
49,Josh Allen,QB,Bills,TEN,5700.0,7000.0,11200.0,5833.0,5600.0,133.0,-100.0,1300.0,5500.0,4200.0,18.3,18.3,17.8,0.5
50,Daniel Jones,QB,Giants,MIN,5600.0,7000.0,10500.0,5833.0,5250.0,233.0,-350.0,1400.0,4900.0,3500.0,17.9,17.91,15.9,2.01
51,Allen Robinson II,WR,Bears,OAK,5600.0,6900.0,10500.0,5750.0,5250.0,150.0,-350.0,1300.0,4900.0,3600.0,13.75,13.75,10.0,3.75
52,Marquez Valdes-Scantling,WR,Packers,DAL,5600.0,6300.0,9900.0,5250.0,4950.0,-350.0,-650.0,700.0,4300.0,3600.0,10.92,10.92,8.9,2.02
53,Cam Newton,QB,Panthers,JAC,5500.0,7500.0,10000.0,6250.0,5000.0,750.0,-500.0,2000.0,4500.0,2500.0,11.34,11.34,8.8,2.54
54,Sony Michel,RB,Patriots,WAS,5500.0,6300.0,10400.0,5250.0,5200.0,-250.0,-300.0,800.0,4900.0,4100.0,7.02,7.02,6.8,0.22
55,Wayne Gallman Jr.,RB,Giants,MIN,5400.0,6300.0,11100.0,5250.0,5550.0,-150.0,150.0,900.0,5700.0,4800.0,10.8,10.8,9.4,1.4
56,Sam Darnold,QB,Jets,PHI,5400.0,6700.0,10600.0,5583.0,5300.0,183.0,-100.0,1300.0,5200.0,3900.0,13.0,13.0,13.0,0.0
57,Gardner Minshew II,QB,Jaguars,CAR,5300.0,6600.0,10500.0,5500.0,5250.0,200.0,-50.0,1300.0,5200.0,3900.0,17.6,17.6,17.4,0.2
58,Dede Westbrook,WR,Jaguars,CAR,5300.0,5300.0,10500.0,4417.0,5250.0,-883.0,-50.0,0.0,5200.0,5200.0,9.27,9.28,7.3,1.98
59,Devonta Freeman,RB,Falcons,HOU,5300.0,6200.0,10000.0,5167.0,5000.0,-133.0,-300.0,900.0,4700.0,3800.0,11.25,11.25,8.9,2.35
60,Kirk Cousins,QB,Vikings,NYG,5300.0,6800.0,10500.0,5667.0,5250.0,367.0,-50.0,1500.0,5200.0,3700.0,11.77,11.78,11.3,0.48
61,DJ Moore,WR,Panthers,JAC,5200.0,5900.0,10200.0,4917.0,5100.0,-283.0,-100.0,700.0,5000.0,4300.0,13.07,13.08,10.3,2.78
62,John Ross III,WR,Bengals,ARI,5200.0,6600.0,10200.0,5500.0,5100.0,300.0,-100.0,1400.0,5000.0,3600.0,21.73,17.95,14.2,3.75
63,Teddy Bridgewater,QB,Saints,TB,5200.0,7200.0,10200.0,6000.0,5100.0,800.0,-100.0,2000.0,5000.0,3000.0,10.3,10.3,10.3,0.0
64,David Montgomery,RB,Bears,OAK,5200.0,5700.0,10200.0,4750.0,5100.0,-450.0,-100.0,500.0,5000.0,4500.0,10.02,10.02,9.0,1.02
65,Tyrell Williams,WR,Raiders,CHI,5200.0,5900.0,10200.0,4917.0,5100.0,-283.0,-100.0,700.0,5000.0,4300.0,16.4,16.4,13.5,2.9
66,Kyle Allen,QB,Panthers,JAC,5100.0,6500.0,10500.0,5417.0,5250.0,317.0,150.0,1400.0,5400.0,4000.0,15.81,15.81,13.8,2.01
67,Mitchell Trubisky,QB,Bears,OAK,5100.0,6800.0,10200.0,5667.0,5100.0,567.0,0.0,1700.0,5100.0,3400.0,8.9,8.9,8.9,0.0
68,Jordan Howard,RB,Eagles,NYJ,5100.0,6500.0,10500.0,5417.0,5250.0,317.0,150.0,1400.0,5400.0,4000.0,13.32,13.32,12.6,0.72
69,Mason Rudolph,QB,Steelers,BAL,5100.0,6500.0,10300.0,5417.0,5150.0,317.0,50.0,1400.0,5200.0,3800.0,13.82,14.83,14.8,0.03
70,John Brown,WR,Bills,TEN,5100.0,5500.0,10100.0,4583.0,5050.0,-517.0,-50.0,400.0,5000.0,4600.0,15.97,15.98,12.4,3.58
71,Terry McLaurin,WR,Redskins,NE,5100.0,6000.0,10500.0,5000.0,5250.0,-100.0,150.0,900.0,5400.0,4500.0,20.9,20.9,17.2,3.7
72,Emmanuel Sanders,WR,Broncos,LAC,5100.0,5600.0,9700.0,4667.0,4850.0,-433.0,-250.0,500.0,4600.0,4100.0,17.45,17.45,13.8,3.65
73,DJ Chark Jr.,WR,Jaguars,CAR,5000.0,5800.0,9800.0,4833.0,4900.0,-167.0,-100.0,800.0,4800.0,4000.0,18.02,18.02,14.9,3.12
74,Christian Kirk,WR,Cardinals,CIN,5000.0,5600.0,9800.0,4667.0,4900.0,-333.0,-100.0,600.0,4800.0,4200.0,13.75,13.75,10.0,3.75
75,Derek Carr,QB,Raiders,CHI,5000.0,6600.0,10000.0,5500.0,5000.0,500.0,0.0,1600.0,5000.0,3400.0,14.35,14.36,14.1,0.26
76,Darren Waller,TE,Raiders,CHI,5000.0,6400.0,9300.0,5333.0,4650.0,333.0,-350.0,1400.0,4300.0,2900.0,17.17,17.18,12.3,4.88
77,Ben Roethlisberger,QB,Steelers,BAL,5000.0,6000.0,10000.0,5000.0,5000.0,0.0,0.0,1000.0,5000.0,4000.0,6.87,6.87,6.9,-0.03
78,James White,RB,Patriots,WAS,5000.0,6200.0,9800.0,5167.0,4900.0,167.0,-100.0,1200.0,4800.0,3600.0,12.96,12.97,10.3,2.67
79,Michael Gallup,WR,Cowboys,GB,5000.0,6400.0,9300.0,5333.0,4650.0,333.0,-350.0,1400.0,4300.0,2900.0,19.3,19.3,14.6,4.7
80,Geronimo Allison,WR,Packers,DAL,5000.0,5600.0,9900.0,4667.0,4950.0,-333.0,-50.0,600.0,4900.0,4300.0,6.82,6.82,7.4,-0.58
81,Calvin Ridley,WR,Falcons,HOU,4900.0,5400.0,9200.0,4500.0,4600.0,-400.0,-300.0,500.0,4300.0,3800.0,12.92,12.92,10.2,2.72
82,Luke Falk,QB,Jets,PHI,4900.0,6200.0,10000.0,5167.0,5000.0,267.0,100.0,1300.0,5100.0,3800.0,5.42,5.42,5.4,0.02
83,Marcus Mariota,QB,Titans,BUF,4900.0,6900.0,10000.0,5750.0,5000.0,850.0,100.0,2000.0,5100.0,3100.0,19.88,19.88,19.1,0.78
84,Phillip Dorsett II,WR,Patriots,WAS,4900.0,5400.0,9700.0,4500.0,4850.0,-400.0,-50.0,500.0,4800.0,4300.0,13.7,13.7,11.8,1.9
85,Phillip Lindsay,RB,Broncos,LAC,4900.0,6700.0,9100.0,5583.0,4550.0,683.0,-350.0,1800.0,4200.0,2400.0,14.3,14.3,12.7,1.6
86,Courtland Sutton,WR,Broncos,LAC,4900.0,5700.0,9800.0,4750.0,4900.0,-150.0,0.0,800.0,4900.0,4100.0,16.97,16.98,13.5,3.48
87,Chase Daniel,QB,Bears,OAK,4800.0,6500.0,10000.0,5417.0,5000.0,617.0,200.0,1700.0,5200.0,3500.0,12.2,12.2,12.2,0.0
88,Tarik Cohen,RB,Bears,OAK,4800.0,5900.0,9000.0,4917.0,4500.0,117.0,-300.0,1100.0,4200.0,3100.0,7.9,7.9,6.2,1.7
89,Josh McCown,QB,Eagles,NYJ,4800.0,6000.0,10000.0,5000.0,5000.0,200.0,200.0,1200.0,5200.0,4000.0,0.96,0.96,1.0,-0.04
90,Mark Andrews,TE,Ravens,PIT,4800.0,6100.0,8900.0,5083.0,4450.0,283.0,-350.0,1300.0,4100.0,2800.0,18.4,18.4,14.0,4.4
91,DeShone Kizer,QB,Raiders,CHI,4700.0,6000.0,10000.0,5000.0,5000.0,300.0,300.0,1300.0,5300.0,4000.0,0.0,0.0,2.5,-2.5
92,Nelson Agholor,WR,Eagles,NYJ,4700.0,5500.0,9200.0,4583.0,4600.0,-117.0,-100.0,800.0,4500.0,3700.0,13.7,13.7,10.4,3.3
93,Frank Gore,RB,Bills,TEN,4700.0,5700.0,8800.0,4750.0,4400.0,50.0,-300.0,1000.0,4100.0,3100.0,12.27,12.28,11.0,1.28
94,Joe Flacco,QB,Broncos,LAC,4700.0,6600.0,10000.0,5500.0,5000.0,800.0,300.0,1900.0,5300.0,3400.0,16.13,16.14,15.1,1.04
95,Ronald Jones II,RB,Buccaneers,NO,4600.0,5900.0,9100.0,4917.0,4550.0,317.0,-50.0,1300.0,4500.0,3200.0,9.87,9.88,9.5,0.38
96,Golden Tate,WR,Giants,MIN,4600.0,4500.0,9100.0,3750.0,4550.0,-850.0,-50.0,-100.0,4500.0,4600.0,0.0,0.0,9.7,-9.7
97,Mike Glennon,QB,Raiders,CHI,4600.0,6000.0,10000.0,5000.0,5000.0,400.0,400.0,1400.0,5400.0,4000.0,0.0,0.0,5.5,-5.5
98,Matt Barkley,QB,Bills,TEN,4600.0,6300.0,10200.0,5250.0,5100.0,650.0,500.0,1700.0,5600.0,3900.0,4.08,4.08,4.1,-0.02
99,Cole Beasley,WR,Bills,TEN,4600.0,5500.0,8800.0,4583.0,4400.0,-17.0,-200.0,900.0,4200.0,3300.0,12.65,12.65,9.6,3.05
100,Case Keenum,QB,Redskins,NE,4600.0,6400.0,10000.0,5333.0,5000.0,733.0,400.0,1800.0,5400.0,3600.0,16.75,16.75,14.8,1.95
101,Chris Thompson,RB,Redskins,NE,4600.0,5400.0,9100.0,4500.0,4550.0,-100.0,-50.0,800.0,4500.0,3700.0,12.42,12.42,9.9,2.52
102,Royce Freeman,RB,Broncos,LAC,4600.0,5400.0,9100.0,4500.0,4550.0,-100.0,-50.0,800.0,4500.0,3700.0,10.65,10.65,8.9,1.75
103,Curtis Samuel,WR,Panthers,JAC,4500.0,5500.0,8800.0,4583.0,4400.0,83.0,-100.0,1000.0,4300.0,3300.0,10.77,10.78,8.8,1.98
104,Will Fuller V,WR,Texans,ATL,4500.0,5700.0,9300.0,4750.0,4650.0,250.0,150.0,1200.0,4800.0,3600.0,8.07,8.08,6.3,1.78
105,Austin Hooper,TE,Falcons,HOU,4500.0,6700.0,8400.0,5583.0,4200.0,1083.0,-300.0,2200.0,3900.0,1700.0,18.42,18.42,14.2,4.22
106,Sean Mannion,QB,Vikings,NYG,4500.0,6000.0,10000.0,5000.0,5000.0,500.0,500.0,1500.0,5500.0,4000.0,-0.2,-0.2,-0.2,0.0
107,Eli Manning,QB,Giants,MIN,4500.0,6000.0,10000.0,5000.0,5000.0,500.0,500.0,1500.0,5500.0,4000.0,15.52,15.52,13.5,2.02
108,Josh Jacobs,RB,Raiders,CHI,4500.0,6000.0,9500.0,5000.0,4750.0,500.0,250.0,1500.0,5000.0,3500.0,12.85,12.85,12.5,0.35
109,Ty Montgomery,RB,Jets,PHI,4500.0,4600.0,8800.0,3833.0,4400.0,-667.0,-100.0,100.0,4300.0,4200.0,2.5,2.5,2.0,0.5
110,Miles Sanders,RB,Eagles,NYJ,4500.0,6000.0,8800.0,5000.0,4400.0,500.0,-100.0,1500.0,4300.0,2800.0,7.8,7.8,6.8,1.0
111,Robby Anderson,WR,Jets,PHI,4500.0,5500.0,8800.0,4583.0,4400.0,83.0,-100.0,1000.0,4300.0,3300.0,7.16,7.17,5.5,1.67
112,Willie Snead IV,WR,Ravens,PIT,4500.0,5000.0,8800.0,4167.0,4400.0,-333.0,-100.0,500.0,4300.0,3800.0,8.85,8.85,7.8,1.05
113,Paul Richardson Jr.,WR,Redskins,NE,4500.0,4700.0,8200.0,3917.0,4100.0,-583.0,-400.0,200.0,3700.0,3500.0,11.22,11.22,9.0,2.22
114,Mike Williams,WR,Chargers,DEN,4500.0,6100.0,9500.0,5083.0,4750.0,583.0,250.0,1600.0,5000.0,3400.0,7.9,7.9,6.6,1.3
115,Jamaal Williams,RB,Packers,DAL,4500.0,5400.0,8800.0,4500.0,4400.0,0.0,-100.0,900.0,4300.0,3400.0,7.05,7.05,6.1,0.95
116,Diontae Johnson,WR,Steelers,BAL,4400.0,5000.0,8000.0,4167.0,4000.0,-233.0,-400.0,600.0,3600.0,3000.0,7.66,10.42,8.6,1.82
117,James Washington,WR,Steelers,BAL,4400.0,5000.0,7900.0,4167.0,3950.0,-233.0,-450.0,600.0,3500.0,2900.0,4.93,3.7,3.0,0.7
118,Devin Singletary,RB,Bills,TEN,4400.0,5400.0,8200.0,4500.0,4100.0,100.0,-300.0,1000.0,3800.0,2800.0,13.25,13.25,12.0,1.25
119,Corey Davis,WR,Titans,BUF,4400.0,5300.0,8200.0,4417.0,4100.0,17.0,-300.0,900.0,3800.0,2900.0,8.57,8.58,7.2,1.38
120,Jarrett Stidham,QB,Patriots,WAS,4400.0,6000.0,10000.0,5000.0,5000.0,600.0,600.0,1600.0,5600.0,4000.0,-0.44,-0.44,-0.4,-0.04
121,Dwayne Haskins Jr.,QB,Redskins,NE,4400.0,6200.0,10000.0,5167.0,5000.0,767.0,600.0,1800.0,5600.0,3800.0,3.58,3.58,3.6,-0.02
122,Rex Burkhead,RB,Patriots,WAS,4400.0,5300.0,8000.0,4417.0,4000.0,17.0,-400.0,900.0,3600.0,2700.0,10.72,10.72,9.0,1.72
123,Tony Pollard,RB,Cowboys,GB,4400.0,5000.0,8800.0,4167.0,4400.0,-233.0,0.0,600.0,4400.0,3800.0,7.67,7.68,8.6,-0.92
124,AJ McCarron,QB,Texans,ATL,4300.0,6000.0,10000.0,5000.0,5000.0,700.0,700.0,1700.0,5700.0,4000.0,0.0,0.0,0.1,-0.1
125,Carlos Hyde,RB,Texans,ATL,4300.0,5600.0,8400.0,4667.0,4200.0,367.0,-100.0,1300.0,4100.0,2800.0,9.2,9.2,8.6,0.6
126,Kenny Stills,WR,Texans,ATL,4300.0,5300.0,8400.0,4417.0,4200.0,117.0,-100.0,1000.0,4100.0,3100.0,8.95,8.95,7.6,1.35
127,Taysom Hill,QB,Saints,TB,4300.0,6000.0,10000.0,5000.0,5000.0,700.0,700.0,1700.0,5700.0,4000.0,3.97,3.98,3.5,0.48
128,Peyton Barber,RB,Buccaneers,NO,4300.0,5500.0,8000.0,4583.0,4000.0,283.0,-300.0,1200.0,3700.0,2500.0,9.45,9.45,8.8,0.65
129,Jamison Crowder,WR,Jets,PHI,4300.0,5800.0,8500.0,4833.0,4250.0,533.0,-50.0,1500.0,4200.0,2700.0,12.26,12.27,8.9,3.37
130,Robert Griffin III,QB,Ravens,PIT,4300.0,6000.0,10000.0,5000.0,5000.0,700.0,700.0,1700.0,5700.0,4000.0,7.1,7.1,7.1,0.0
131,Patriots,DST,Patriots,WAS,4300.0,5500.0,7300.0,4583.0,3650.0,283.0,-650.0,1200.0,3000.0,1800.0,21.5,20.75,21.5,-0.75
132,Jimmy Graham,TE,Packers,DAL,4300.0,5500.0,8000.0,4583.0,4000.0,283.0,-300.0,1200.0,3700.0,2500.0,7.52,7.52,6.4,1.12
133,Josh Dobbs,QB,Jaguars,CAR,4200.0,6000.0,10000.0,5000.0,5000.0,800.0,800.0,1800.0,5800.0,4000.0,0.0,0.0,0.4,-0.4
134,Marqise Lee,WR,Jaguars,CAR,4200.0,4500.0,8400.0,3750.0,4200.0,-450.0,0.0,300.0,4200.0,3900.0,0.5,0.5,1.0,-0.5
135,Brett Hundley,QB,Cardinals,CIN,4200.0,6000.0,10000.0,5000.0,5000.0,800.0,800.0,1800.0,5800.0,4000.0,0.0,0.0,0.0,0.0
136,Matt Schaub,QB,Falcons,HOU,4200.0,6000.0,10000.0,5000.0,5000.0,800.0,800.0,1800.0,5800.0,4000.0,0.0,0.0,0.3,-0.3
137,Duke Johnson,RB,Texans,ATL,4200.0,5300.0,8600.0,4417.0,4300.0,217.0,100.0,1100.0,4400.0,3300.0,7.57,7.58,6.6,0.98
138,Mohamed Sanu,WR,Falcons,HOU,4200.0,5900.0,8300.0,4917.0,4150.0,717.0,-50.0,1700.0,4100.0,2400.0,12.02,12.02,9.0,3.02
139,A.J. Brown,WR,Titans,BUF,4200.0,5600.0,8300.0,4667.0,4150.0,467.0,-50.0,1400.0,4100.0,2700.0,11.82,11.82,9.8,2.02
140,Dexter Williams,RB,Packers,DAL,4200.0,4500.0,8400.0,3750.0,4200.0,-450.0,0.0,300.0,4200.0,3900.0,0.0,0.0,0.0,0.0
141,Randall Cobb,WR,Cowboys,GB,4200.0,5100.0,8300.0,4250.0,4150.0,50.0,-50.0,900.0,4100.0,3200.0,9.2,9.2,7.4,1.8
142,Nick Foles,QB,Jaguars,CAR,4100.0,6000.0,10000.0,5000.0,5000.0,900.0,900.0,1900.0,5900.0,4000.0,7.0,7.0,7.0,0.0
143,Chris Conley,WR,Jaguars,CAR,4100.0,4900.0,8900.0,4083.0,4450.0,-17.0,350.0,800.0,4800.0,4000.0,10.17,10.18,8.6,1.58
144,Ryan Finley,QB,Bengals,ARI,4100.0,6000.0,10000.0,5000.0,5000.0,900.0,900.0,1900.0,5900.0,4000.0,0.0,0.0,0.0,0.0
145,Ryan Griffin,QB,Buccaneers,NO,4100.0,6000.0,10000.0,5000.0,5000.0,900.0,900.0,1900.0,5900.0,4000.0,0.0,0.0,0.0,0.0
146,Ryan Griffin,QB,Buccaneers,PHI,4100.0,4000.0,10000.0,3333.0,5000.0,-767.0,900.0,-100.0,5900.0,6000.0,0.0,0.0,1.2,-1.2
147,Ryan Griffin,QB,Jets,NO,4100.0,6000.0,5000.0,5000.0,2500.0,900.0,-1600.0,1900.0,900.0,-1000.0,1.83,0.0,0.0,0.0
148,Ryan Griffin,QB,Jets,PHI,4100.0,4000.0,5000.0,3333.0,2500.0,-767.0,-1600.0,-100.0,900.0,1000.0,1.83,0.0,1.2,-1.2
149,Ryan Griffin,TE,Buccaneers,NO,2500.0,6000.0,10000.0,5000.0,5000.0,2500.0,2500.0,3500.0,7500.0,4000.0,0.0,1.83,0.0,1.83
150,Ryan Griffin,TE,Buccaneers,PHI,2500.0,4000.0,10000.0,3333.0,5000.0,833.0,2500.0,1500.0,7500.0,6000.0,0.0,1.83,1.2,0.63
151,Ryan Griffin,TE,Jets,NO,2500.0,6000.0,5000.0,5000.0,2500.0,2500.0,0.0,3500.0,2500.0,-1000.0,1.83,1.83,0.0,1.83
152,Ryan Griffin,TE,Jets,PHI,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,1.83,1.83,1.2,0.63
153,Devlin Hodges,QB,Steelers,,4100.0,,10000.0,,5000.0,,900.0,,5900.0,,0.0,0.0,,
154,Jaylen Samuels,RB,Steelers,BAL,4100.0,5000.0,7700.0,4167.0,3850.0,67.0,-250.0,900.0,3600.0,2700.0,1.9,7.31,8.1,-0.79
155,Ryan Tannehill,QB,Titans,BUF,4100.0,6000.0,10000.0,5000.0,5000.0,900.0,900.0,1900.0,5900.0,4000.0,-0.2,-0.2,-0.2,0.0
