,name_dk,position_dk,team_draft,opponent_fd,salary_dk,salary_fd,salary_draft,fd_adj,draft_adj,adj_fd-dk,adj_draft-dk,fd-dk,draft-dk,draft-fd,avg_fppg_draft,avgpointspergame_dk,fppg_fd
432,Daniel Brown,TE,Jets,NE,2500.0,4500.0,5000.0,3750.0,2500.0,1250.0,0.0,2000.0,2500.0,500.0,0.0,0.0,0.0
433,Trevon Wesco,TE,Jets,NE,2500.0,4500.0,5000.0,3750.0,2500.0,1250.0,0.0,2000.0,2500.0,500.0,0.0,0.0,0.0
434,Logan Thomas,TE,Lions,PHI,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.85,0.85,1.200000048
435,Maxx Williams,TE,Cardinals,CAR,2500.0,4100.0,5000.0,3417.0,2500.0,917.0,0.0,1600.0,2500.0,900.0,2.8,2.8,2.299999952
436,Chris Manhertz,TE,Panthers,ARI,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,4.066666603
437,Garrett Dickerson,TE,Giants,TB,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
438,Eric Tomlinson,TE,Giants,TB,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,1.399999976
439,Antony Auclair,TE,Buccaneers,NYG,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,1.185714313
440,Tanner Hudson,TE,Buccaneers,NYG,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
441,Darren Fells,TE,Texans,LAC,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.95,0.699999988
442,Jerell Adams,TE,Texans,LAC,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
443,Logan Paulsen,TE,Texans,LAC,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,2.800000054
444,Sean Culkin,TE,Chargers,HOU,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,2.900000095
445,Chargers,DST,Chargers,HOU,2500.0,3800.0,4700.0,3167.0,2350.0,667.0,-150.0,1300.0,2200.0,900.0,5.0,5.0,5.0
446,Josh Hill,TE,Saints,SEA,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.8,0.4,0.300000012
447,Tyler Ott,TE,Seahawks,,2500.0,,5000.0,,2500.0,,0.0,,2500.0,,0.0,0.0,
448,Xavier Grimble,TE,Steelers,SF,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
449,Zach Gentry,TE,Steelers,SF,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,0.0
450,Ross Dwelley,TE,49ers,PIT,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,1.200000048
451,Levine Toilolo,TE,49ers,PIT,2500.0,4000.0,5000.0,3333.0,2500.0,833.0,0.0,1500.0,2500.0,1000.0,0.0,0.0,3.8909090219999998
452,Bengals,DST,Bengals,BUF,2400.0,3400.0,4200.0,2833.0,2100.0,433.0,-300.0,1000.0,1800.0,800.0,6.0,2.0,2.0
453,Steelers,DST,Steelers,SF,2300.0,3500.0,4200.0,2917.0,2100.0,617.0,-200.0,1200.0,1900.0,700.0,0.0,3.5,3.5
454,Lions,DST,Lions,PHI,2200.0,3500.0,4000.0,2917.0,2000.0,717.0,-200.0,1300.0,1800.0,500.0,8.0,8.0,8.0
455,Saints,DST,Saints,SEA,2200.0,3800.0,4500.0,3167.0,2250.0,967.0,50.0,1600.0,2300.0,700.0,7.0,6.0,6.0
456,Jets,DST,Jets,NE,2100.0,3000.0,3800.0,2500.0,1900.0,400.0,-200.0,900.0,1700.0,800.0,18.0,11.5,11.5
457,Dolphins,DST,Dolphins,DAL,2000.0,2000.0,3900.0,1667.0,1950.0,-333.0,-50.0,0.0,1900.0,1900.0,0.0,0.0,0.0
458,,,Browns,,,,7400.0,,3700.0,,,,,,0.0,,
459,,,Browns,,,,8000.0,,4000.0,,,,,,6.6,,
460,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
461,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
462,,,Browns,,,,10000.0,,5000.0,,,,,,0.0,,
463,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
464,,,Browns,,,,6000.0,,3000.0,,,,,,3.7,,
465,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
466,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
467,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
468,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
469,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
470,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
471,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
472,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
473,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
474,,,Browns,,,,11800.0,,5900.0,,,,,,11.7,,
475,,,Browns,,,,15400.0,,7700.0,,,,,,14.1,,
476,,,Browns,,,,5000.0,,2500.0,,,,,,0.0,,
477,,,Browns,,,,5000.0,,2500.0,,,,,,0.0,,
478,,,Browns,,,,5000.0,,2500.0,,,,,,0.0,,
479,,,Browns,,,,5000.0,,2500.0,,,,,,0.0,,
480,,,Browns,,,,5000.0,,2500.0,,,,,,0.0,,
481,,,Browns,,,,5000.0,,2500.0,,,,,,0.0,,
482,,,Browns,,,,7400.0,,3700.0,,,,,,13.7,,
483,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
484,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
485,,,Browns,,,,6000.0,,3000.0,,,,,,5.6,,
486,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
487,,,Browns,,,,12400.0,,6200.0,,,,,,11.5,,
488,,,Browns,,,,10000.0,,5000.0,,,,,,0.0,,
489,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
490,,,Browns,,,,6000.0,,3000.0,,,,,,0.0,,
