Position, Name, Team, Game, Avg FPPG, Salary
"WR","Russell Gage","Falcons","ATL @ IND","1.1","$6,000.00"
"WR","Calvin Ridley","Falcons","ATL @ IND","21.95","$10,500.00"
"WR","Julio Jones","Falcons","ATL @ IND","22.85","$14,000.00"
"TE","Jaeden Graham","Falcons","ATL @ IND","0.0","$5,000.00"
"TE","Austin Hooper","Falcons","ATL @ IND","12.05","$7,100.00"
"RB","Brian Hill","Falcons","ATL @ IND","0.0","$6,000.00"
"RB","Keith Smith","Falcons","ATL @ IND","0.0","$6,000.00"
"RB","Devonta Freeman","Falcons","ATL @ IND","5.1","$9,300.00"
"QB","Matt Schaub","Falcons","ATL @ IND","0.0","$10,000.00"
"QB","Matt Ryan","Falcons","ATL @ IND","24.33","$11,200.00"
"RB","Qadree Ollison","Falcons","ATL @ IND","0.0","$6,000.00"
"RB","Ito Smith","Falcons","ATL @ IND","5.75","$7,900.00"
"WR","Olamide Zaccheaus","Falcons","ATL @ IND","0.0","$6,000.00"
"WR","Justin Hardy","Falcons","ATL @ IND","4.05","$6,000.00"
"DST","Atlanta Falcons","Falcons","ATL @ IND","5.0","$5,200.00"
"WR","Mohamed Sanu","Falcons","ATL @ IND","10.7","$7,700.00"
"TE","Luke Stocker","Falcons","ATL @ IND","0.0","$5,000.00"
"RB","Kenjon Barner","Falcons","ATL @ IND","0.0","$6,000.00"
"RB","LeSean McCoy","Chiefs","BAL @ KC","7.8","$9,100.00"
"WR","Byron Pringle","Chiefs","BAL @ KC","0.0","$6,000.00"
"WR","Demarcus Robinson","Chiefs","BAL @ KC","19.6","$10,700.00"
"WR","Mecole Hardman","Chiefs","BAL @ KC","8.05","$10,400.00"
"WR","Tyreek Hill","Chiefs","BAL @ KC","4.1","$13,200.00"
"WR","Sammy Watkins","Chiefs","BAL @ KC","30.35","$12,700.00"
"TE","Deon Yelder","Chiefs","BAL @ KC","0.0","$5,000.00"
"TE","Blake Bell","Chiefs","BAL @ KC","0.85","$5,000.00"
"TE","James Winchester","Chiefs","BAL @ KC","0.0","$5,000.00"
"TE","Travis Kelce","Chiefs","BAL @ KC","19.25","$13,300.00"
"RB","Anthony Sherman","Chiefs","BAL @ KC","1.25","$6,000.00"
"RB","Darwin Thompson","Chiefs","BAL @ KC","0.7","$6,000.00"
"QB","Matt Moore","Chiefs","BAL @ KC","-0.1","$10,000.00"
"QB","Patrick Mahomes","Chiefs","BAL @ KC","32.97","$13,700.00"
"RB","Damien Williams","Chiefs","BAL @ KC","18.5","$10,200.00"
"WR","De'Anthony Thomas","Chiefs","BAL @ KC","1.6","$6,000.00"
"RB","Darrel Williams","Chiefs","BAL @ KC","0.0","$6,000.00"
"DST","Kansas City Chiefs","Chiefs","BAL @ KC","5.0","$4,200.00"
"WR","Jaleel Scott","Ravens","BAL @ KC","0.0","$6,000.00"
"WR","Seth Roberts","Ravens","BAL @ KC","2.0","$6,000.00"
"WR","Miles Boykin","Ravens","BAL @ KC","4.8","$6,000.00"
"WR","Marquise Brown","Ravens","BAL @ KC","25.15","$11,000.00"
"TE","Nick Boyle","Ravens","BAL @ KC","4.0","$5,000.00"
"TE","Hayden Hurst","Ravens","BAL @ KC","7.1","$5,500.00"
"TE","Mark Andrews","Ravens","BAL @ KC","27.8","$8,900.00"
"RB","Mark Ingram II","Ravens","BAL @ KC","25.7","$11,800.00"
"DST","Baltimore Ravens","Ravens","BAL @ KC","13.0","$4,500.00"
"QB","Trace McSorley","Ravens","BAL @ KC","0.0","$10,000.00"
"WR","Willie Snead IV","Ravens","BAL @ KC","12.1","$8,400.00"
"RB","Patrick Ricard","Ravens","BAL @ KC","7.1","$6,000.00"
"WR","Chris Moore","Ravens","BAL @ KC","0.0","$6,700.00"
"QB","Lamar Jackson","Ravens","BAL @ KC","36.56","$13,500.00"
"QB","Robert Griffin III","Ravens","BAL @ KC","7.1","$10,000.00"
"RB","Gus Edwards","Ravens","BAL @ KC","5.6","$6,000.00"
"RB","Justice Hill","Ravens","BAL @ KC","2.7","$7,000.00"
"WR","Laquon Treadwell","Vikings","OAK @ MIN","0.0","$6,000.00"
"WR","Chad Beebe","Vikings","OAK @ MIN","4.5","$6,700.00"
"WR","Stefon Diggs","Vikings","OAK @ MIN","8.3","$12,000.00"
"WR","Adam Thielen","Vikings","OAK @ MIN","12.9","$12,300.00"
"TE","Tyler Conklin","Vikings","OAK @ MIN","0.0","$5,000.00"
"TE","Kyle Rudolph","Vikings","OAK @ MIN","1.95","$6,400.00"
"RB","C.J. Ham","Vikings","OAK @ MIN","0.0","$6,000.00"
"RB","Mike Boone","Vikings","OAK @ MIN","0.0","$6,000.00"
"RB","Ameer Abdullah","Vikings","OAK @ MIN","0.5","$6,000.00"
"RB","Dalvin Cook","Vikings","OAK @ MIN","30.05","$14,600.00"
"QB","Sean Mannion","Vikings","OAK @ MIN","0.0","$10,000.00"
"QB","Kirk Cousins","Vikings","OAK @ MIN","13.11","$10,900.00"
"RB","Alexander Mattison","Vikings","OAK @ MIN","4.9","$7,100.00"
"DST","Minnesota Vikings","Vikings","OAK @ MIN","16.0","$5,900.00"
"TE","Irv Smith Jr.","Vikings","OAK @ MIN","0.0","$5,000.00"
"WR","Olabisi Johnson","Vikings","OAK @ MIN","0.0","$6,000.00"
"RB","Isaiah Crowell","Raiders","OAK @ MIN","0.0","$6,000.00"
"WR","J.J. Nelson","Raiders","OAK @ MIN","0.0","$6,200.00"
"WR","Jalin Marshall","Raiders","OAK @ MIN","0.0","$6,000.00"
"WR","Ryan Grant","Raiders","OAK @ MIN","2.7","$6,000.00"
"WR","Tyrell Williams","Raiders","OAK @ MIN","20.55","$11,300.00"
"TE","Foster Moreau","Raiders","OAK @ MIN","2.0","$5,000.00"
"TE","Derek Carrier","Raiders","OAK @ MIN","3.15","$5,000.00"
"TE","Darren Waller","Raiders","OAK @ MIN","13.15","$7,400.00"
"RB","Alec Ingold","Raiders","OAK @ MIN","0.0","$6,000.00"
"RB","DeAndre Washington","Raiders","OAK @ MIN","3.15","$6,000.00"
"RB","Jalen Richard","Raiders","OAK @ MIN","1.4","$6,000.00"
"RB","Josh Jacobs","Raiders","OAK @ MIN","17.1","$10,000.00"
"QB","DeShone Kizer","Raiders","OAK @ MIN","0.0","$10,000.00"
"QB","Mike Glennon","Raiders","OAK @ MIN","0.0","$10,000.00"
"QB","Derek Carr","Raiders","OAK @ MIN","13.14","$10,200.00"
"DST","Oakland Raiders","Raiders","OAK @ MIN","3.5","$4,800.00"
"WR","Keelan Doss","Raiders","OAK @ MIN","0.0","$6,000.00"
"WR","Dwayne Harris","Raiders","OAK @ MIN","0.85","$6,000.00"
"WR","Hunter Renfrow","Raiders","OAK @ MIN","3.3","$7,000.00"
"WR","N'Keal Harry","Patriots","NYJ @ NE","0.0","$6,000.00"
"TE","Matt LaCosse","Patriots","NYJ @ NE","5.3","$5,000.00"
"WR","Gunner Olszewski","Patriots","NYJ @ NE","0.0","$6,000.00"
"WR","Josh Gordon","Patriots","NYJ @ NE","16.3","$10,200.00"
"WR","Antonio Brown","Patriots","NYJ @ NE","16.1","$16,300.00"
"TE","Ryan Izzo","Patriots","NYJ @ NE","0.65","$5,000.00"
"TE","Lance Kendricks","Patriots","NYJ @ NE","0.0","$5,000.00"
"RB","Rex Burkhead","Patriots","NYJ @ NE","11.15","$7,000.00"
"RB","James White","Patriots","NYJ @ NE","12.55","$10,100.00"
"QB","Tom Brady","Patriots","NYJ @ NE","26.65","$12,900.00"
"TE","Ben Watson","Patriots","NYJ @ NE","0.0","$5,700.00"
"WR","Julian Edelman","Patriots","NYJ @ NE","12.79","$11,600.00"
"WR","Phillip Dorsett II","Patriots","NYJ @ NE","16.2","$6,600.00"
"WR","Jakobi Meyers","Patriots","NYJ @ NE","3.2","$6,000.00"
"RB","Damien Harris","Patriots","NYJ @ NE","0.0","$6,000.00"
"RB","Brandon Bolden","Patriots","NYJ @ NE","0.7","$6,000.00"
"DST","New England Patriots","Patriots","NYJ @ NE","23.5","$7,100.00"
"RB","Sony Michel","Patriots","NYJ @ NE","7.45","$11,800.00"
"WR","Matthew Slater","Patriots","NYJ @ NE","0.0","$6,000.00"
"RB","James Develin","Patriots","NYJ @ NE","0.0","$6,000.00"
"QB","Jarrett Stidham","Patriots","NYJ @ NE","0.0","$10,000.00"
"WR","Demaryius Thomas","Jets","NYJ @ NE","0.0","$6,900.00"
"WR","Robby Anderson","Jets","NYJ @ NE","5.3","$9,500.00"
"WR","Jamison Crowder","Jets","NYJ @ NE","24.3","$10,100.00"
"TE","Daniel Brown","Jets","NYJ @ NE","0.0","$5,000.00"
"TE","Ryan Griffin","Jets","NYJ @ NE","4.0","$5,000.00"
"RB","Trenton Cannon","Jets","NYJ @ NE","0.0","$6,000.00"
"RB","Bilal Powell","Jets","NYJ @ NE","0.0","$6,000.00"
"RB","Ty Montgomery","Jets","NYJ @ NE","0.4","$8,000.00"
"QB","Trevor Siemian","Jets","NYJ @ NE","0.0","$10,000.00"
"QB","Sam Darnold","Jets","NYJ @ NE","13.0","$10,000.00"
"WR","Braxton Berrios","Jets","NYJ @ NE","0.0","$6,000.00"
"RB","Le'Veon Bell","Jets","NYJ @ NE","23.2","$14,500.00"
"WR","Josh Bellamy","Jets","NYJ @ NE","2.5","$6,300.00"
"TE","Trevon Wesco","Jets","NYJ @ NE","0.0","$5,000.00"
"DST","New York Jets","Jets","NYJ @ NE","18.0","$3,800.00"
"TE","Dallas Goedert","Eagles","DET @ PHI","3.6","$5,100.00"
"WR","Alshon Jeffery","Eagles","DET @ PHI","11.05","$11,600.00"
"QB","Nate Sudfeld","Eagles","DET @ PHI","0.0","$10,000.00"
"TE","Zach Ertz","Eagles","DET @ PHI","13.8","$11,900.00"
"RB","Miles Sanders","Eagles","DET @ PHI","5.2","$7,700.00"
"RB","Darren Sproles","Eagles","DET @ PHI","6.9","$7,000.00"
"RB","Jordan Howard","Eagles","DET @ PHI","5.55","$8,500.00"
"QB","Josh McCown","Eagles","DET @ PHI","0.96","$10,000.00"
"QB","Carson Wentz","Eagles","DET @ PHI","23.78","$11,600.00"
"WR","Nelson Agholor","Eagles","DET @ PHI","15.4","$7,800.00"
"RB","Corey Clement","Eagles","DET @ PHI","0.0","$6,000.00"
"WR","DeSean Jackson","Eagles","DET @ PHI","19.2","$10,900.00"
"DST","Philadelphia Eagles","Eagles","DET @ PHI","4.0","$6,100.00"
"WR","Mack Hollins","Eagles","DET @ PHI","0.0","$6,300.00"
"WR","JJ Arcega-Whiteside","Eagles","DET @ PHI","0.0","$6,200.00"
"WR","Travis Fulgham","Lions","DET @ PHI","0.0","$6,000.00"
"WR","Marvin Jones Jr.","Lions","DET @ PHI","9.65","$10,300.00"
"WR","Danny Amendola","Lions","DET @ PHI","26.4","$7,000.00"
"WR","Kenny Golladay","Lions","DET @ PHI","21.45","$12,300.00"
"TE","Jesse James","Lions","DET @ PHI","2.5","$5,000.00"
"TE","Logan Thomas","Lions","DET @ PHI","0.85","$5,000.00"
"TE","T.J. Hockenson","Lions","DET @ PHI","14.9","$6,400.00"
"RB","Nick Bawden","Lions","DET @ PHI","0.5","$6,000.00"
"RB","C.J. Anderson","Lions","DET @ PHI","2.15","$6,300.00"
"RB","Kerryon Johnson","Lions","DET @ PHI","12.5","$10,100.00"
"QB","David Blough","Lions","DET @ PHI","0.0","$10,000.00"
"QB","Josh Johnson","Lions","DET @ PHI","0.0","$10,000.00"
"QB","Matthew Stafford","Lions","DET @ PHI","24.35","$10,800.00"
"RB","Ty Johnson","Lions","DET @ PHI","3.1","$6,000.00"
"WR","Chris Lacy","Lions","DET @ PHI","0.0","$6,000.00"
"DST","Detroit Lions","Lions","DET @ PHI","8.0","$4,000.00"
"RB","J.D. McKissic","Lions","DET @ PHI","4.4","$6,000.00"
"WR","Michael Crabtree","Cardinals","CAR @ ARI","3.3","$7,000.00"
"RB","Chase Edmonds","Cardinals","CAR @ ARI","2.1","$7,700.00"
"WR","Andy Isabella","Cardinals","CAR @ ARI","0.0","$6,400.00"
"WR","Larry Fitzgerald","Cardinals","CAR @ ARI","23.35","$10,100.00"
"WR","Christian Kirk","Cardinals","CAR @ ARI","15.4","$10,500.00"
"TE","Charles Clay","Cardinals","CAR @ ARI","1.55","$5,000.00"
"RB","D.J. Foster","Cardinals","CAR @ ARI","0.0","$6,000.00"
"RB","David Johnson","Cardinals","CAR @ ARI","17.05","$12,400.00"
"QB","Brett Hundley","Cardinals","CAR @ ARI","0.0","$10,000.00"
"QB","Kyler Murray","Cardinals","CAR @ ARI","22.49","$10,500.00"
"DST","Arizona Cardinals","Cardinals","CAR @ ARI","4.5","$5,500.00"
"TE","Maxx Williams","Cardinals","CAR @ ARI","2.8","$5,000.00"
"WR","Damiere Byrd","Cardinals","CAR @ ARI","9.35","$6,000.00"
"WR","Trent Sherfield","Cardinals","CAR @ ARI","0.0","$6,000.00"
"WR","KeeSean Johnson","Cardinals","CAR @ ARI","9.6","$6,600.00"
"WR","Ray-Ray McCloud","Panthers","CAR @ ARI","0.0","$6,000.00"
"WR","Chris Hogan","Panthers","CAR @ ARI","1.1","$6,000.00"
"WR","Jarius Wright","Panthers","CAR @ ARI","2.95","$6,000.00"
"WR","DJ Moore","Panthers","CAR @ ARI","15.75","$10,500.00"
"TE","Ian Thomas","Panthers","CAR @ ARI","0.0","$5,000.00"
"TE","Chris Manhertz","Panthers","CAR @ ARI","0.0","$5,000.00"
"TE","Greg Olsen","Panthers","CAR @ ARI","13.8","$7,000.00"
"RB","Jordan Scarlett","Panthers","CAR @ ARI","0.0","$6,000.00"
"RB","Reggie Bonnafon","Panthers","CAR @ ARI","0.0","$6,000.00"
"RB","Alex Armah","Panthers","CAR @ ARI","3.05","$6,000.00"
"RB","Christian McCaffrey","Panthers","CAR @ ARI","26.6","$16,800.00"
"QB","Will Grier","Panthers","CAR @ ARI","0.0","$10,000.00"
"QB","Cam Newton","Panthers","CAR @ ARI","11.34","$10,800.00"
"DST","Carolina Panthers","Panthers","CAR @ ARI","4.0","$4,700.00"
"WR","Brandon Zylstra","Panthers","CAR @ ARI","0.0","$6,000.00"
"WR","Curtis Samuel","Panthers","CAR @ ARI","10.25","$9,000.00"
"QB","Kyle Allen","Panthers","CAR @ ARI","0.0","$10,000.00"
"QB","Blaine Gabbert","Buccaneers","NYG @ TB","0.0","$10,000.00"
"WR","Scotty Miller","Buccaneers","NYG @ TB","0.0","$6,000.00"
"WR","Justin Watson","Buccaneers","NYG @ TB","0.0","$6,000.00"
"WR","Bobo Wilson","Buccaneers","NYG @ TB","0.0","$6,000.00"
"WR","Breshad Perriman","Buccaneers","NYG @ TB","1.5","$6,000.00"
"WR","Chris Godwin","Buccaneers","NYG @ TB","21.7","$12,500.00"
"WR","Mike Evans","Buccaneers","NYG @ TB","7.45","$13,100.00"
"TE","Tanner Hudson","Buccaneers","NYG @ TB","0.0","$5,000.00"
"TE","Cameron Brate","Buccaneers","NYG @ TB","2.9","$5,300.00"
"TE","O.J. Howard","Buccaneers","NYG @ TB","3.1","$6,500.00"
"RB","T.J. Logan","Buccaneers","NYG @ TB","0.0","$6,000.00"
"RB","Peyton Barber","Buccaneers","NYG @ TB","11.2","$8,800.00"
"QB","Jameis Winston","Buccaneers","NYG @ TB","11.64","$11,100.00"
"RB","Ronald Jones II","Buccaneers","NYG @ TB","5.6","$7,200.00"
"QB","Ryan Griffin","Buccaneers","NYG @ TB","0.0","$10,000.00"
"TE","Antony Auclair","Buccaneers","NYG @ TB","0.0","$5,000.00"
"RB","Dare Ogunbowale","Buccaneers","NYG @ TB","4.6","$6,400.00"
"DST","Tampa Bay Buccaneers","Buccaneers","NYG @ TB","10.5","$5,200.00"
"WR","Sterling Shepard","Giants","NYG @ TB","10.2","$9,800.00"
"WR","Russell Shepard","Giants","NYG @ TB","1.95","$6,400.00"
"WR","TJ Jones","Giants","NYG @ TB","12.8","$6,000.00"
"RB","Wayne Gallman Jr.","Giants","NYG @ TB","6.55","$6,900.00"
"WR","Darius Slayton","Giants","NYG @ TB","0.0","$6,000.00"
"WR","Cody Core","Giants","NYG @ TB","2.9","$6,000.00"
"WR","Bennie Fowler III","Giants","NYG @ TB","10.55","$8,100.00"
"WR","Golden Tate","Giants","NYG @ TB","0.0","$9,100.00"
"TE","Rhett Ellison","Giants","NYG @ TB","1.8","$5,000.00"
"TE","Evan Engram","Giants","NYG @ TB","21.2","$9,500.00"
"RB","Elijhaa Penny","Giants","NYG @ TB","0.15","$6,000.00"
"RB","Saquon Barkley","Giants","NYG @ TB","23.2","$16,700.00"
"QB","Alex Tanney","Giants","NYG @ TB","0.0","$10,000.00"
"QB","Eli Manning","Giants","NYG @ TB","18.84","$10,200.00"
"WR","Cody Latimer","Giants","NYG @ TB","8.2","$7,400.00"
"TE","Garrett Dickerson","Giants","NYG @ TB","0.0","$5,000.00"
"RB","Paul Perkins","Giants","NYG @ TB","0.0","$6,400.00"
"TE","Eric Tomlinson","Giants","NYG @ TB","0.0","$5,000.00"
"QB","Daniel Jones","Giants","NYG @ TB","0.18","$10,000.00"
"DST","New York Giants","Giants","NYG @ TB","-4.0","$5,000.00"
"RB","Melvin Gordon III","Chargers","HOU @ LAC","0.0","$13,000.00"
"RB","Justin Jackson","Chargers","HOU @ LAC","7.25","$8,000.00"
"WR","Geremy Davis","Chargers","HOU @ LAC","0.0","$6,000.00"
"WR","Travis Benjamin","Chargers","HOU @ LAC","1.6","$6,000.00"
"WR","Mike Williams","Chargers","HOU @ LAC","8.1","$9,400.00"
"WR","Keenan Allen","Chargers","HOU @ LAC","23.55","$13,300.00"
"TE","Sean Culkin","Chargers","HOU @ LAC","0.0","$5,000.00"
"TE","Virgil Green","Chargers","HOU @ LAC","1.65","$6,200.00"
"RB","Derek Watt","Chargers","HOU @ LAC","0.85","$6,000.00"
"QB","Easton Stick","Chargers","HOU @ LAC","0.0","$10,000.00"
"QB","Tyrod Taylor","Chargers","HOU @ LAC","0.0","$10,000.00"
"QB","Philip Rivers","Chargers","HOU @ LAC","19.92","$10,600.00"
"DST","Los Angeles Chargers","Chargers","HOU @ LAC","5.0","$4,700.00"
"TE","Hunter Henry","Chargers","HOU @ LAC","10.0","$7,700.00"
"RB","Troymaine Pope","Chargers","HOU @ LAC","0.0","$6,000.00"
"RB","Austin Ekeler","Chargers","HOU @ LAC","31.85","$14,700.00"
"WR","Dontrelle Inman","Chargers","HOU @ LAC","1.5","$6,000.00"
"WR","Andre Patton","Chargers","HOU @ LAC","0.0","$6,000.00"
"RB","Taiwan Jones","Texans","HOU @ LAC","0.0","$6,000.00"
