Position,Name,ID,Name+ID,Team,Game,Avg FPPG,Salary
RB,Ryquell Armstead,1653427,Ryquell Armstead (1653427),Jaguars,JAX @ CAR,3.15,"$6,700.00 "
RB,Damien Harris,1653420,Damien Harris (1653420),Patriots,NE @ WAS,0,"$6,700.00 "
RB,Mike Davis,1653392,Mike Davis (1653392),Bears,CHI @ OAK,3.3,"$6,600.00 "
RB,Dare Ogunbowale,1653395,Dare Ogunbowale (1653395),Buccaneers,TB @ NO,4.77,"$6,400.00 "
RB,Troymaine Pope,1653390,Troymaine Pope (1653390),Chargers,DEN @ LAC,3.8,"$6,400.00 "
RB,Samaje Perine,1653397,Samaje Perine (1653397),Bengals,ARI @ CIN,0,"$6,400.00 "
RB,Devontae Booker,1653331,Devontae Booker (1653331),Broncos,DEN @ LAC,0,"$6,300.00 "
RB,Jakob Johnson,1653415,Jakob Johnson (1653415),Patriots,NE @ WAS,0,"$6,300.00 "
RB,Benny Snell Jr.,1653425,Benny Snell Jr. (1653425),Steelers,BAL @ PIT,0.96,"$6,200.00 "
RB,Qadree Ollison,1653422,Qadree Ollison (1653422),Falcons,ATL @ HOU,0,"$6,200.00 "
RB,Derrius Guice,1653396,Derrius Guice (1653396),Redskins,NE @ WAS,6.8,"$6,000.00 "
RB,Brandon Bolden,1653355,Brandon Bolden (1653355),Patriots,NE @ WAS,3.66,"$6,000.00 "
RB,DeAndre Washington,1653354,DeAndre Washington (1653354),Raiders,CHI @ OAK,3.27,"$6,000.00 "
RB,Jon Hilliman,1653432,Jon Hilliman (1653432),Giants,MIN @ NYG,2.3,"$6,000.00 "
RB,Patrick Ricard,1653411,Patrick Ricard (1653411),Ravens,BAL @ PIT,2.1,"$6,000.00 "
RB,Alex Armah,1653400,Alex Armah (1653400),Panthers,JAX @ CAR,1.92,"$6,000.00 "
RB,Danny Vitale,1653336,Danny Vitale (1653336),Packers,GB @ DAL,1.87,"$6,000.00 "
RB,Wendell Smallwood,1653378,Wendell Smallwood (1653378),Redskins,NE @ WAS,1.42,"$6,000.00 "
RB,C.J. Ham,1653360,C.J. Ham (1653360),Vikings,MIN @ NYG,1.25,"$6,000.00 "
RB,Derek Watt,1653391,Derek Watt (1653391),Chargers,DEN @ LAC,1.17,"$6,000.00 "
RB,Ameer Abdullah,1653357,Ameer Abdullah (1653357),Vikings,MIN @ NYG,1.1,"$6,000.00 "
RB,Patrick DiMarco,1653319,Patrick DiMarco (1653319),Bills,BUF @ TEN,1.07,"$6,000.00 "
RB,Mike Boone,1653358,Mike Boone (1653358),Vikings,MIN @ NYG,0.7,"$6,000.00 "
RB,Anthony Sherman,1653347,Anthony Sherman (1653347),Chiefs,IND @ KC,0.62,"$6,000.00 "
RB,Darwin Thompson,1653430,Darwin Thompson (1653430),Chiefs,IND @ KC,0.55,"$6,000.00 "
RB,Kenjon Barner,1653401,Kenjon Barner (1653401),Falcons,ATL @ HOU,0.46,"$6,000.00 "
RB,Zach Line,1653369,Zach Line (1653369),Saints,TB @ NO,0.32,"$6,000.00 "
RB,James Develin,1653364,James Develin (1653364),Patriots,NE @ WAS,0.15,"$6,000.00 "
RB,Reggie Bonnafon,1653402,Reggie Bonnafon (1653402),Panthers,JAX @ CAR,0.12,"$6,000.00 "
RB,Alec Ingold,1653433,Alec Ingold (1653433),Raiders,CHI @ OAK,0.02,"$6,000.00 "
RB,Aaron Ripkowski,1653346,Aaron Ripkowski (1653346),Chiefs,IND @ KC,0,"$6,000.00 "
RB,Aca'Cedric Ware,1653437,Aca'Cedric Ware (1653437),Colts,IND @ KC,0,"$6,000.00 "
RB,Andy Janovich,1653333,Andy Janovich (1653333),Broncos,DEN @ LAC,0,"$6,000.00 "
RB,Bilal Powell,1653376,Bilal Powell (1653376),Jets,NYJ @ PHI,0,"$6,000.00 "
RB,Brian Hill,1653317,Brian Hill (1653317),Falcons,ATL @ HOU,0,"$6,000.00 "
RB,Bruce Anderson III,1653436,Bruce Anderson III (1653436),Colts,IND @ KC,0,"$6,000.00 "
RB,Buddy Howell,1653413,Buddy Howell (1653413),Texans,ATL @ HOU,0,"$6,000.00 "
RB,Charcandrick West,1653349,Charcandrick West (1653349),Colts,IND @ KC,0,"$6,000.00 "
RB,Cullen Gillaspia,1653431,Cullen Gillaspia (1653431),Texans,ATL @ HOU,0,"$6,000.00 "
RB,D'Onta Foreman,1653412,D'Onta Foreman (1653412),Colts,IND @ KC,0,"$6,000.00 "
RB,D.J. Foster,1653381,D.J. Foster (1653381),Cardinals,ARI @ CIN,0,"$6,000.00 "
RB,Darius Jackson,1653329,Darius Jackson (1653329),Colts,IND @ KC,0,"$6,000.00 "
RB,David Fluellen,1653338,David Fluellen (1653338),Titans,BUF @ TEN,0,"$6,000.00 "
RB,David Williams,1653406,David Williams (1653406),Colts,IND @ KC,0,"$6,000.00 "
RB,Devine Ozigbo,1653434,Devine Ozigbo (1653434),Jaguars,JAX @ CAR,0,"$6,000.00 "
RB,Dwayne Washington,1653370,Dwayne Washington (1653370),Saints,TB @ NO,0,"$6,000.00 "
RB,Isaiah Crowell,1653375,Isaiah Crowell (1653375),Raiders,CHI @ OAK,0,"$6,000.00 "
RB,J.D. Moore,1653345,J.D. Moore (1653345),Chiefs,IND @ KC,0,"$6,000.00 "
RB,Jamize Olawale,1653330,Jamize Olawale (1653330),Cowboys,GB @ DAL,0,"$6,000.00 "
RB,Jonathan Williams,1653344,Jonathan Williams (1653344),Colts,IND @ KC,0,"$6,000.00 "
RB,Jordan Scarlett,1653426,Jordan Scarlett (1653426),Panthers,JAX @ CAR,0,"$6,000.00 "
RB,Keith Smith,1653353,Keith Smith (1653353),Falcons,ATL @ HOU,0,"$6,000.00 "
RB,Marcus Marshall,1653435,Marcus Marshall (1653435),Chiefs,IND @ KC,0,"$6,000.00 "
RB,Marquis Young,1653439,Marquis Young (1653439),Colts,IND @ KC,0,"$6,000.00 "
RB,Quinton Flowers,1653325,Quinton Flowers (1653325),Colts,IND @ KC,0,"$6,000.00 "
