"QB","RB","RB","WR","WR","WR","TE","FLEX","DEF","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","38746-62497:David Johnson","38746-62497","RB","David","David Johnson","Johnson","15.366666158040365","3","6800","SEA@ARI","ARI","SEA","","","","",""
"","","","","","","","","","","38746-38628:Mitchell Trubisky","38746-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","11.7533327738444","3","6800","MIN@CHI","CHI","MIN","","","","",""
"","","","","","","","","","","38746-30447:Todd Gurley II","38746-30447","RB","Todd","Todd Gurley II","Gurley II","9.700000127156576","3","6800","TB@LAR","LAR","TB","","","","",""
"","","","","","","","","","","38746-45859:Derek Carr","38746-45859","QB","Derek","Derek Carr","Carr","14.319999694824219","3","6800","OAK@IND","OAK","IND","","","","",""
"","","","","","","","","","","38746-53095:Kyle Allen","38746-53095","QB","Kyle","Kyle Allen","Allen","24.34000015258789","1","6800","CAR@HOU","CAR","HOU","","","","",""
"","","","","","","","","","","38746-41872:Evan Engram","38746-41872","TE","Evan","Evan Engram","Engram","17.066666920979817","3","6800","WAS@NYG","NYG","WAS","","","","",""
"","","","","","","","","","","38746-61798:Gardner Minshew II","38746-61798","QB","Gardner","Gardner Minshew II","Minshew II","17.56000010172526","3","6700","JAC@DEN","JAC","DEN","","","","",""
"","","","","","","","","","","38746-38264:Demarcus Robinson","38746-38264","WR","Demarcus","Demarcus Robinson","Robinson","14.833333333333334","3","6700","KC@DET","KC","DET","","","","",""
"","","","","","","","","","","38746-25011:Darren Waller","38746-25011","TE","Darren","Darren Waller","Waller","13.466667175292969","3","6700","OAK@IND","OAK","IND","","","","",""
"","","","","","","","","","","38746-54244:Kenny Golladay","38746-54244","WR","Kenny","Kenny Golladay","Golladay","12.199999491373697","3","6700","KC@DET","DET","KC","","","","",""
"","","","","","","","","","","38746-27050:Tyler Lockett","38746-27050","WR","Tyler","Tyler Lockett","Lockett","16.900000254313152","3","6600","SEA@ARI","SEA","ARI","","","","",""
"","","","","","","","","","","38746-63806:Kerryon Johnson","38746-63806","RB","Kerryon","Kerryon Johnson","Johnson","11.266666412353516","3","6500","KC@DET","DET","KC","","","","",""
"","","","","","","","","","","38746-71352:Mecole Hardman","38746-71352","WR","Mecole","Mecole Hardman","Hardman","10.5","3","6500","KC@DET","KC","DET","","","","",""
"","","","","","","","","","","38746-27477:Sterling Shepard","38746-27477","WR","Sterling","Sterling Shepard","Shepard","15.399999618530273","2","6500","WAS@NYG","NYG","WAS","","","","",""
"","","","","","","","","","","38746-40126:Austin Hooper","38746-40126","TE","Austin","Austin Hooper","Hooper","13.066666920979818","3","6400","TEN@ATL","ATL","TEN","","","","",""
"","","","","","","","","","","38746-6714:Joe Flacco","38746-6714","QB","Joe","Joe Flacco","Flacco","12.506666819254557","3","6400","JAC@DEN","DEN","JAC","","","","",""
"","","","","","","","","","","38746-63043:DJ Moore","38746-63043","WR","DJ","DJ Moore","Moore","11.800000508626303","3","6400","CAR@HOU","CAR","HOU","","","","",""
"","","","","","","","","","","38746-52922:Leonard Fournette","38746-52922","RB","Leonard","Leonard Fournette","Fournette","10.766666412353516","3","6400","JAC@DEN","JAC","DEN","","","","",""
"","","","","","","","","","","38746-27441:Damien Williams","38746-27441","RB","Damien","Damien Williams","Williams","11.300000190734863","2","6400","KC@DET","KC","DET","Q","Knee","","",""
"","","","","","","","","","","38746-6779:LeSean McCoy","38746-6779","RB","LeSean","LeSean McCoy","McCoy","11.699999491373697","3","6300","KC@DET","KC","DET","Q","Ankle","","",""
"","","","","","","","","","","38746-56250:Terry McLaurin","38746-56250","WR","Terry","Terry McLaurin","McLaurin","17.233333587646484","3","6300","WAS@NYG","WAS","NYG","","","","",""
"","","","","","","","","","","38746-28930:James White","38746-28930","RB","James","James White","White","10.550000190734863","2","6200","NE@BUF","NE","BUF","","","","",""
"","","","","","","","","","","38746-24920:Devonta Freeman","38746-24920","RB","Devonta","Devonta Freeman","Freeman","7.166666666666667","3","6200","TEN@ATL","ATL","TEN","","","","",""
"","","","","","","","","","","38746-23194:Josh Gordon","38746-23194","WR","Josh","Josh Gordon","Gordon","9.700000127156576","3","6200","NE@BUF","NE","BUF","","","","",""
"","","","","","","","","","","38746-31394:Jarvis Landry","38746-31394","WR","Jarvis","Jarvis Landry","Landry","7.366666793823242","3","6200","CLE@BAL","CLE","BAL","","","","",""
"","","","","","","","","","","38746-55165:Justin Jackson","38746-55165","RB","Justin","Justin Jackson","Jackson","6.166666666666667","3","6200","LAC@MIA","LAC","MIA","","","","",""
"","","","","","","","","","","38746-40845:Hunter Henry","38746-40845","TE","Hunter","Hunter Henry","Henry","8","1","6200","LAC@MIA","LAC","MIA","O","Knee","","",""
"","","","","","","","","","","38746-62364:Josh Rosen","38746-62364","QB","Josh","Josh Rosen","Rosen","3.793333371480306","3","6200","LAC@MIA","MIA","LAC","Q","Head","","",""
"","","","","","","","","","","38746-52436:Mark Andrews","38746-52436","TE","Mark","Mark Andrews","Andrews","15","3","6100","CLE@BAL","BAL","CLE","","","","",""
"","","","","","","","","","","38746-73048:DK Metcalf","38746-73048","WR","DK","DK Metcalf","Metcalf","10.733333587646484","3","6100","SEA@ARI","SEA","ARI","","","","",""
"","","","","","","","","","","38746-53640:Sony Michel","38746-53640","RB","Sony","Sony Michel","Michel","6.933333079020183","3","6100","NE@BUF","NE","BUF","","","","",""
"","","","","","","","","","","38746-25079:Stefon Diggs","38746-25079","WR","Stefon","Stefon Diggs","Diggs","5.700000127156575","3","6100","MIN@CHI","MIN","CHI","","","","",""
