"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38945-29253","WR","Keenan","Keenan Allen","Allen","20.125","4","7500","DEN@LAC","LAC","DEN","","","","",""
"38945-14185","QB","Cam","Cam Newton","Newton","8.84000015258789","2","7500","JAC@CAR","CAR","JAC","O","Foot","","",""
"38945-14211","RB","Mark","Mark Ingram II","Ingram II","18.125","4","7500","BAL@PIT","BAL","PIT","","","","",""
"38945-14225","QB","Andy","Andy Dalton","Dalton","15.774999618530273","4","7500","ARI@CIN","CIN","ARI","","","","",""
"38945-63484","QB","Kyler","Kyler Murray","Murray","19.03499984741211","4","7400","ARI@CIN","ARI","CIN","","","","",""
"38945-28181","RB","Le'Veon","Le'Veon Bell","Bell","14.800000508626303","3","7300","NYJ@PHI","NYJ","PHI","","","","",""
"38945-55987","WR","JuJu","JuJu Smith-Schuster","Smith-Schuster","10.074999809265137","4","7300","BAL@PIT","PIT","BAL","Q","Toe","","",""
"38945-80001","RB","Austin","Austin Ekeler","Ekeler","23.75","4","7200","DEN@LAC","LAC","DEN","","","","",""
"38945-33259","QB","Teddy","Teddy Bridgewater","Bridgewater","10.299999872843424","3","7200","TB@NO","NO","TB","","","","",""
"38945-52442","RB","Joe","Joe Mixon","Mixon","7.900000095367432","4","7100","ARI@CIN","CIN","ARI","","","","",""
"38945-14187","WR","A.J.","A.J. Green","Green","14.044444613986546","9","7100","ARI@CIN","CIN","ARI","O","Ankle","","",""
"38945-63519","QB","Daniel","Daniel Jones","Jones","15.906667073567709","3","7000","MIN@NYG","NYG","MIN","","","","",""
"38945-62239","QB","Josh","Josh Allen","Allen","17.80500030517578","4","7000","BUF@TEN","BUF","TEN","","","","",""
"38945-29358","QB","Marcus","Marcus Mariota","Mariota","19.1299991607666","4","6900","BUF@TEN","TEN","BUF","","","","",""
"38945-52922","RB","Leonard","Leonard Fournette","Fournette","14.449999809265137","4","6900","JAC@CAR","JAC","CAR","","","","",""
"38945-40687","RB","James","James Conner","Conner","12.175000190734863","4","6900","BAL@PIT","PIT","BAL","","","","",""
"38945-39716","WR","Adam","Adam Thielen","Thielen","10.625","4","6900","MIN@NYG","MIN","NYG","","","","",""
"38945-28643","WR","Allen","Allen Robinson II","Robinson II","10","4","6900","CHI@OAK","CHI","OAK","","","","",""
"38945-62497","RB","David","David Johnson","Johnson","16","4","6800","ARI@CIN","ARI","CIN","","","","",""
"38945-28900","RB","Melvin","Melvin Gordon III","Gordon III","20.875","12","6800","DEN@LAC","LAC","DEN","","","","",""
"38945-40442","RB","Aaron","Aaron Jones","Jones","14.25","4","6800","GB@DAL","GB","DAL","","","","",""
"38945-22038","QB","Kirk","Kirk Cousins","Cousins","11.274999618530273","4","6800","MIN@NYG","MIN","NYG","","","","",""
"38945-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","8.904999732971191","4","6800","CHI@OAK","CHI","OAK","O","Shoulder","","",""
"38945-63589","QB","Sam","Sam Darnold","Darnold","13","1","6700","NYJ@PHI","NYJ","PHI","O","Illness","","",""
"38945-40126","TE","Austin","Austin Hooper","Hooper","14.175000190734863","4","6700","ATL@HOU","ATL","HOU","","","","",""
"38945-39280","RB","Derrick","Derrick Henry","Henry","16.799999237060547","4","6700","BUF@TEN","TEN","BUF","","","","",""
"38945-41426","RB","Phillip","Phillip Lindsay","Lindsay","12.675000190734863","4","6700","DEN@LAC","DEN","LAC","","","","",""
"38945-21980","WR","Alshon","Alshon Jeffery","Jeffery","15.449999809265137","2","6700","NYJ@PHI","PHI","NYJ","","","","",""
"38945-40669","WR","Tyler","Tyler Boyd","Boyd","10.524999618530273","4","6700","ARI@CIN","CIN","ARI","","","","",""
"38945-29780","TE","Zach","Zach Ertz","Ertz","9.875","4","6600","NYJ@PHI","PHI","NYJ","","","","",""
"38945-61798","QB","Gardner","Gardner Minshew II","Minshew II","17.350000381469727","4","6600","JAC@CAR","JAC","CAR","","","","",""
"38945-41475","WR","John","John Ross III","Ross III","14.199999809265137","4","6600","ARI@CIN","CIN","ARI","IR","Shoulder","","",""
"38945-6714","QB","Joe","Joe Flacco","Flacco","15.135000228881836","4","6600","DEN@LAC","DEN","LAC","","","","",""
"38945-6739","WR","DeSean","DeSean Jackson","Jackson","31.399999618530273","1","6600","NYJ@PHI","PHI","NYJ","O","Abdomen","","",""
"38945-45859","QB","Derek","Derek Carr","Carr","14.104999542236328","4","6600","CHI@OAK","OAK","CHI","","","","",""
